drop  healthy_zRMSE(mean+-sd)  degraded_zRMS  separation
  0%  1.0675+-0.0182  5.2524  3.917
  1%  1.0216+-0.0241  5.2450  4.131
  2%  1.0043+-0.0268  5.2446  4.219
  3%  0.9913+-0.0259  5.2435  4.285
  4%  0.9824+-0.0270  5.2427  4.333
  5%  0.9756+-0.0271  5.2427  4.370
  6%  0.9702+-0.0272  5.2432  4.400
  7%  0.9628+-0.0271  5.2440  4.442
  8%  0.9569+-0.0265  5.2444  4.476
  9%  0.9462+-0.0294  5.2459  4.538
 10%  0.9373+-0.0323  5.2457  4.590
 11%  0.9320+-0.0329  5.2462  4.622
 12%  0.9266+-0.0325  5.2463  4.655
 13%  0.9217+-0.0341  5.2476  4.686
 14%  0.9199+-0.0346  5.2489  4.699
 15%  0.9167+-0.0347  5.2489  4.719
 16%  0.9106+-0.0369  5.2487  4.757
 17%  0.9077+-0.0361  5.2500  4.777
 18%  0.8991+-0.0417  5.2496  4.831
 19%  0.8926+-0.0468  5.2507  4.876
 20%  0.8898+-0.0481  5.2505  4.894
 21%  0.8855+-0.0499  5.2517  4.924
 22%  0.8810+-0.0490  5.2520  4.955
 23%  0.8796+-0.0494  5.2524  4.965
 24%  0.8758+-0.0517  5.2528  4.992
 25%  0.8687+-0.0544  5.2522  5.041
 26%  0.8597+-0.0579  5.2522  5.106
 27%  0.8581+-0.0592  5.2529  5.119
 28%  0.8565+-0.0580  5.2541  5.132
 29%  0.8552+-0.0585  5.2556  5.143
 30%  0.8542+-0.0607  5.2574  5.153
 31%  0.8539+-0.0605  5.2578  5.156
 32%  0.8530+-0.0602  5.2598  5.165
 33%  0.8471+-0.0675  5.2621  5.214
 34%  0.8458+-0.0678  5.2634  5.226
 35%  0.8460+-0.0677  5.2627  5.223
 36%  0.8401+-0.0658  5.2625  5.265
 37%  0.8399+-0.0651  5.2648  5.269
 38%  0.8389+-0.0661  5.2642  5.276
 39%  0.8325+-0.0735  5.2662  5.332
 40%  0.8324+-0.0747  5.2682  5.337
 41%  0.8308+-0.0762  5.2704  5.352
 42%  0.8288+-0.0801  5.2717  5.373
 43%  0.8121+-0.0783  5.2735  5.509
 44%  0.8124+-0.0776  5.2767  5.510
 45%  0.8102+-0.0798  5.2755  5.528
 46%  0.8109+-0.0809  5.2766  5.525
 47%  0.8089+-0.0807  5.2798  5.545
 48%  0.8092+-0.0815  5.2820  5.547
 49%  0.8050+-0.0828  5.2833  5.585
 50%  0.8041+-0.0825  5.2828  5.591
