[A0] lambda grid at drop 0% (revised Stage 5)
 mono  conv |         RMSE |  score |     s9->s10 | shape
  0.5  0.25 |   8.36 ±0.14 |   24.3 |  1.06->0.93 | fail
  0.5   0.5 |  12.19 ±2.61 |   66.2 |  1.45->1.41 | fail
  0.5     1 |  16.17 ±0.21 |  116.0 |  1.73->1.87 | PASS
  0.5     2 |  16.82 ±0.19 |  126.2 |  1.72->1.90 | PASS
  0.5     4 |  18.12 ±0.21 |  150.5 |  1.66->1.89 | PASS
    1  0.25 |  11.65 ±2.08 |   59.0 |  1.42->1.35 | fail
    1   0.5 |  15.09 ±1.07 |  101.0 |  1.67->1.72 | PASS
    1     1 |  16.30 ±0.20 |  117.6 |  1.73->1.89 | PASS
    1     2 |  16.93 ±0.19 |  128.1 |  1.71->1.91 | PASS
    1     4 |  18.21 ±0.21 |  152.3 |  1.65->1.89 | PASS
    2  0.25 |  16.03 ±0.25 |  113.5 |  1.74->1.87 | PASS
    2   0.5 |  16.22 ±0.22 |  116.2 |  1.74->1.89 | PASS
    2     1 |  16.52 ±0.19 |  120.8 |  1.73->1.91 | PASS
    2     2 |  17.18 ±0.20 |  132.3 |  1.70->1.91 | PASS
    2     4 |  18.46 ±0.22 |  157.5 |  1.64->1.89 | PASS
    4  0.25 |  16.52 ±0.20 |  120.5 |  1.74->1.92 | PASS
    4   0.5 |  16.68 ±0.20 |  123.2 |  1.73->1.93 | PASS
    4     1 |  17.01 ±0.20 |  129.0 |  1.72->1.92 | PASS
    4     2 |  17.64 ±0.19 |  140.6 |  1.69->1.92 | PASS
    4     4 |  18.97 ±0.24 |  168.5 |  1.63->1.89 | PASS
    6  0.25 |  17.01 ±0.17 |  128.9 |  1.72->1.93 | PASS
    6   0.5 |  17.14 ±0.20 |  131.1 |  1.72->1.93 | PASS
    6     1 |  17.44 ±0.20 |  136.4 |  1.70->1.93 | PASS
    6     2 |  18.09 ±0.21 |  149.2 |  1.67->1.92 | PASS
    6     4 |  19.49 ±0.28 |  180.5 |  1.61->1.89 | fail
    8  0.25 |  17.41 ±0.19 |  135.6 |  1.71->1.94 | PASS
    8   0.5 |  17.59 ±0.16 |  139.1 |  1.70->1.94 | PASS
    8     1 |  17.93 ±0.21 |  145.7 |  1.69->1.94 | PASS
    8     2 |  18.60 ±0.26 |  159.9 |  1.66->1.93 | PASS
    8     4 |  19.99 ±0.31 |  192.9 |  1.59->1.89 | fail
--> drop0 lambda winner: mono=1, conv=0.5  RMSE 15.09  score 101.0

[B0] flat grid at (mono=1, conv=0.5), drop 0%
  300  0.002 |  15.09 ±1.07 |  101.0 |  1.67->1.72 | PASS
  300  0.004 |  16.73 ±0.26 |  125.3 |  1.73->1.95 | PASS
  500  0.002 |  15.43 ±1.86 |  107.6 |  1.63->1.80 | PASS
  500  0.004 |  17.44 ±0.21 |  137.9 |  1.72->2.05 | PASS
  800  0.002 |  17.37 ±0.20 |  137.0 |  1.72->2.04 | PASS
  800  0.004 |  18.03 ±0.19 |  149.5 |  1.72->2.12 | PASS
--> flat winner at drop0: 300, 0.002  RMSE 15.09  score 101.0
