baseline window cycle count per unit: u1:25 u2:12 u3:13 u4:13 u5:27 u6:7 u7:13 u8:7 u9:25

REFERENCES
                           candidate | overall | short+med |   long |   worst unit
                             ungated |    6.78 |      6.51 |   7.65 |    10.00 u7
                  frozen V*=20.2 std |    5.65 |      4.75 |   8.04 |     9.66 u6

A. COVERAGE-CONDITIONAL V  (nbase < 10 -> V_sparse, else V_dense)
                           candidate | overall | short+med |   long |   worst unit
             dense 19.9 / sparse off |    6.04 |      5.49 |   7.65 |     9.00 u6
            dense 19.9 / sparse 18.5 |    5.90 |      5.49 |   7.14 |     8.12 u6
            dense 19.9 / sparse 18.8 |    5.76 |      5.49 |   6.60 |     8.00 u5
            dense 19.9 / sparse 19.0 |    5.76 |      5.49 |   6.60 |     8.00 u5
            dense 19.9 / sparse 19.2 |    5.76 |      5.49 |   6.60 |     8.00 u5
            dense 19.9 / sparse 19.5 |    6.04 |      5.49 |   7.65 |     9.00 u6
            dense 19.9 / sparse 19.9 |    5.90 |      5.49 |   7.14 |     8.12 u6
             dense 20.0 / sparse off |    5.92 |      5.32 |   7.65 |     9.00 u6
            dense 20.0 / sparse 18.5 |    5.77 |      5.32 |   7.14 |     8.12 u6
            dense 20.0 / sparse 18.8 |    5.63 |      5.32 |   6.60 |     8.00 u5
            dense 20.0 / sparse 19.0 |    5.63 |      5.32 |   6.60 |     8.00 u5
            dense 20.0 / sparse 19.2 |    5.63 |      5.32 |   6.60 |     8.00 u5
            dense 20.0 / sparse 19.5 |    5.92 |      5.32 |   7.65 |     9.00 u6
            dense 20.0 / sparse 19.9 |    5.77 |      5.32 |   7.14 |     8.12 u6
             dense 20.1 / sparse off |    5.79 |      5.14 |   7.65 |     9.00 u6
            dense 20.1 / sparse 18.5 |    5.64 |      5.14 |   7.14 |     8.12 u6
            dense 20.1 / sparse 18.8 |    5.49 |      5.14 |   6.60 |     8.00 u5
            dense 20.1 / sparse 19.0 |    5.49 |      5.14 |   6.60 |     8.00 u5
            dense 20.1 / sparse 19.2 |    5.49 |      5.14 |   6.60 |     8.00 u5
            dense 20.1 / sparse 19.5 |    5.79 |      5.14 |   7.65 |     9.00 u6
            dense 20.1 / sparse 19.9 |    5.64 |      5.14 |   7.14 |     8.12 u6
             dense 20.2 / sparse off |    5.52 |      4.75 |   7.65 |     9.00 u6
            dense 20.2 / sparse 18.5 |    5.37 |      4.75 |   7.14 |     8.12 u6
            dense 20.2 / sparse 18.8 |    5.21 |      4.75 |   6.60 |     8.00 u5
            dense 20.2 / sparse 19.0 |    5.21 |      4.75 |   6.60 |     8.00 u5
            dense 20.2 / sparse 19.2 |    5.21 |      4.75 |   6.60 |     8.00 u5
            dense 20.2 / sparse 19.5 |    5.52 |      4.75 |   7.65 |     9.00 u6
            dense 20.2 / sparse 19.9 |    5.37 |      4.75 |   7.14 |     8.12 u6

B. ROBUST SIGMA0 (scaled MAD) x single absolute V
                           candidate | overall | short+med |   long |   worst unit
                          MAD, V=off |    5.69 |      5.66 |   5.79 |     8.00 u5
                         MAD, V=18.8 |    5.74 |      5.33 |   6.98 |     8.87 u6
                         MAD, V=19.2 |    5.82 |      5.44 |   6.98 |     8.87 u6
                         MAD, V=19.5 |    5.40 |      4.86 |   6.98 |     8.87 u6
                         MAD, V=19.8 |    5.68 |      5.25 |   6.98 |     8.87 u6
                         MAD, V=19.9 |    5.16 |      4.90 |   6.00 |     8.00 u5
                         MAD, V=20.0 |    5.31 |      4.62 |   7.21 |     8.87 u6
                         MAD, V=20.1 |    5.48 |      5.03 |   6.83 |     8.87 u6
                         MAD, V=20.2 |    5.31 |      4.41 |   7.67 |     9.68 u6
                         MAD, V=20.3 |    6.18 |      6.09 |   6.49 |     9.95 u7
                         MAD, V=20.4 |    6.53 |      6.68 |   5.97 |    10.85 u5
                         MAD, V=20.5 |    6.19 |      6.26 |   5.96 |    11.83 u7

C. COMBINED — best-feasible A cell with MAD sigma0
                           candidate | overall | short+med |   long |   worst unit
      dense 20.2 / sparse 18.8 + MAD |    5.09 |      4.41 |   6.98 |     8.87 u6

wall=0.0 min
