CLASS-STRATIFIED DEV GATE SWEEP — onset RMSE overall / short+medium / long (u6, u8), cached stats, frozen detector
      V | overall | short+med |   long | long gap vs off
    off |    6.78 |      6.51 |   7.65 |               —
   18.1 |    6.56 |      6.38 |   7.14 |           -0.51 <= off
   18.2 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.3 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.4 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.5 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.6 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.7 |    6.41 |      6.18 |   7.14 |           -0.51 <= off
   18.8 |    6.27 |      6.18 |   6.60 |           -1.05 <= off
   18.9 |    6.27 |      6.18 |   6.60 |           -1.05 <= off
   19.0 |    6.27 |      6.17 |   6.60 |           -1.05 <= off
   19.1 |    6.16 |      6.03 |   6.60 |           -1.05 <= off
   19.2 |    6.15 |      6.02 |   6.60 |           -1.05 <= off
   19.3 |    6.28 |      6.02 |   7.14 |           -0.51 <= off
   19.4 |    6.14 |      5.82 |   7.14 |           -0.51 <= off
   19.5 |    6.32 |      5.88 |   7.65 |           +0.00 <= off
   19.6 |    6.27 |      5.82 |   7.65 |           +0.00 <= off
   19.7 |    6.27 |      5.82 |   7.65 |           +0.00 <= off
   19.8 |    5.95 |      5.56 |   7.14 |           -0.51 <= off
   19.9 |    5.90 |      5.49 |   7.14 |           -0.51 <= off
   20.0 |    5.97 |      5.32 |   7.84 |           +0.19
   20.1 |    5.85 |      5.14 |   7.84 |           +0.19
   20.2 |    5.65 |      4.75 |   8.04 |           +0.39
   20.3 |    9.24 |      9.49 |   8.31 |           +0.66
   20.4 |   14.69 |     14.73 |  14.55 |           +6.90
   20.5 |   11.88 |     12.51 |   9.36 |           +1.71

wall=0.0 min
